"filename", "language", "Dart", "CMake", "YAML", "C++", "Swift", "JSON", "HTML", "Markdown", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"e:\MyProjects\darlink\lib\shared\services\message_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\darlink\lib\shared\services\recording_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\darlink\lib\shared\widgets\card\contact_card.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 102
"e:\MyProjects\darlink\lib\shared\widgets\card\event_card.dart", "Dart", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 157
"e:\MyProjects\darlink\lib\shared\widgets\card\propertyCard.dart", "Dart", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 166
"e:\MyProjects\darlink\lib\shared\widgets\chat_widget\attachment_option.dart", "Dart", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"e:\MyProjects\darlink\lib\shared\widgets\chat_widget\audio_waveform.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 35
"e:\MyProjects\darlink\lib\shared\widgets\chat_widget\message_bubble.dart", "Dart", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 187
"e:\MyProjects\darlink\lib\shared\widgets\chat_widget\recording_ui.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"e:\MyProjects\darlink\lib\shared\widgets\filter_bottom.dart", "Dart", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 185
"e:\MyProjects\darlink\lib\shared\widgets\map\Virtual_tour.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"e:\MyProjects\darlink\lib\shared\widgets\map\map_page.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"e:\MyProjects\darlink\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"e:\MyProjects\darlink\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\MyProjects\darlink\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"e:\MyProjects\darlink\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
